Metric,Value
train_transaction_rows,590540
train_transaction_columns,394
train_identity_rows,144233
train_identity_columns,41
total_transactions,590540
legitimate_transactions,569877
fraud_transactions,20663
fraud_percentage,3.499
imbalance_ratio,27.58
train_transaction_duplicate_rows,0
train_identity_duplicate_rows,0
transaction_id_strictly_unique,True
columns_with_missing_values,374
columns_over_50pct_missing,174
columns_over_80pct_missing,55
transactions_with_identity,144233
transactions_with_identity_percentage,24.42
fraud_rate_when_identity_present,7.85
fraud_rate_when_identity_missing,2.09
