feature_name,dtype,feature_type,missing_percentage,unique_count,source_feature,transformation,training_use,reason
TransactionID,int64,Identifier,0.0,472432,Database,Raw index,AuditTrackingOnly,Excluded from training to prevent sequence overfitting
isFraud,uint8,Target,0.0,2,Target,Ground truth binary label,Target,Supervised learning binary objective
TransactionDT,int32,Numerical,0.0,457939,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
TransactionAmt,float32,Numerical,0.0,18131,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
ProductCD,int32,Categorical,0.0,5,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
card1,int16,Numerical,0.0,12730,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
card2,float32,Numerical,1.49,500,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
card3,float32,Numerical,0.17,106,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
card4,int32,Categorical,0.0,5,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
card5,float32,Numerical,0.67,113,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
card6,int32,Categorical,0.0,5,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
addr1,float32,Numerical,11.38,328,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
addr2,float32,Numerical,11.38,70,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
dist1,float32,Numerical,60.78,2589,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
dist2,float32,Numerical,93.21,1664,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
P_emaildomain,int32,Categorical,0.0,60,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
R_emaildomain,int32,Categorical,0.0,61,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
C1,float32,Numerical,0.0,1591,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C2,float32,Numerical,0.0,1103,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C3,float32,Numerical,0.0,24,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C4,float32,Numerical,0.0,1218,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C5,float32,Numerical,0.0,312,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C6,float32,Numerical,0.0,1294,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C7,float32,Numerical,0.0,1102,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C8,float32,Numerical,0.0,1226,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C9,float32,Numerical,0.0,205,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C10,float32,Numerical,0.0,1163,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C11,float32,Numerical,0.0,1421,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C12,float32,Numerical,0.0,1194,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C13,float32,Numerical,0.0,1589,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
C14,float32,Numerical,0.0,1089,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D1,float32,Numerical,0.2,641,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D2,float32,Numerical,48.95,641,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D3,float32,Numerical,46.07,609,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D4,float32,Numerical,29.59,767,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D5,float32,Numerical,53.73,640,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D6,float32,Numerical,87.62,781,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D7,float32,Numerical,93.66,568,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D8,float32,Numerical,86.96,11359,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D9,float32,Numerical,86.96,24,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D10,float32,Numerical,14.05,777,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D11,float32,Numerical,52.07,636,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D12,float32,Numerical,88.84,600,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D13,float32,Numerical,89.63,527,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D14,float32,Numerical,89.45,763,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
D15,float32,Numerical,16.46,820,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
M1,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
M2,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
M3,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
M4,int32,Categorical,0.0,4,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
M5,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
M6,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
M7,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
M8,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
M9,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
V1,float32,Numerical,52.07,2,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V2,float32,Numerical,52.07,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V3,float32,Numerical,52.07,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V4,float32,Numerical,52.07,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V5,float32,Numerical,52.07,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V6,float32,Numerical,52.07,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V7,float32,Numerical,52.07,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V8,float32,Numerical,52.07,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V9,float32,Numerical,52.07,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V10,float32,Numerical,52.07,5,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V11,float32,Numerical,52.07,5,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V12,float32,Numerical,14.06,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V13,float32,Numerical,14.06,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V14,float32,Numerical,14.06,2,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V15,float32,Numerical,14.06,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V16,float32,Numerical,14.06,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V17,float32,Numerical,14.06,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V18,float32,Numerical,14.06,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V19,float32,Numerical,14.06,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V20,float32,Numerical,14.06,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V21,float32,Numerical,14.06,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V22,float32,Numerical,14.06,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V23,float32,Numerical,14.06,14,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V24,float32,Numerical,14.06,14,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V25,float32,Numerical,14.06,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V26,float32,Numerical,14.06,13,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V27,float32,Numerical,14.06,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V28,float32,Numerical,14.06,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V29,float32,Numerical,14.06,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V30,float32,Numerical,14.06,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V31,float32,Numerical,14.06,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V32,float32,Numerical,14.06,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V33,float32,Numerical,14.06,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V34,float32,Numerical,14.06,13,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V35,float32,Numerical,29.59,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V36,float32,Numerical,29.59,5,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V37,float32,Numerical,29.59,55,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V38,float32,Numerical,29.59,55,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V39,float32,Numerical,29.59,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V40,float32,Numerical,29.59,17,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V41,float32,Numerical,29.59,2,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V42,float32,Numerical,29.59,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V43,float32,Numerical,29.59,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V44,float32,Numerical,29.59,49,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V45,float32,Numerical,29.59,49,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V46,float32,Numerical,29.59,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V47,float32,Numerical,29.59,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V48,float32,Numerical,29.59,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V49,float32,Numerical,29.59,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V50,float32,Numerical,29.59,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V51,float32,Numerical,29.59,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V52,float32,Numerical,29.59,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V53,float32,Numerical,14.16,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V54,float32,Numerical,14.16,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V55,float32,Numerical,14.16,18,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V56,float32,Numerical,14.16,20,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V57,float32,Numerical,14.16,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V58,float32,Numerical,14.16,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
