feature,unique_count,missing_percentage,variance,decision,reason
TransactionDT,457939,0.0,12672668609609.479,Retain,Informative feature variance
TransactionAmt,18131,0.0,56433.78906,Retain,Informative feature variance
ProductCD,5,0.0,1.39414,Retain,Informative feature variance
card1,12730,0.0,24001770.45325,Retain,Informative feature variance
card2,500,1.49,24986.41406,Retain,Informative feature variance
card3,106,0.17,132.05611,Retain,Informative feature variance
card4,5,0.0,0.28271,Retain,Informative feature variance
card5,113,0.67,1670.8479,Retain,Informative feature variance
card6,5,0.0,0.19457,Retain,Informative feature variance
addr1,328,11.38,10379.70117,Retain,Informative feature variance
addr2,70,11.38,8.2607,Retain,Informative feature variance
dist1,2589,60.78,141017.82812,Retain,Informative feature variance
dist2,1664,93.21,288846.375,Retain,Informative feature variance
P_emaildomain,60,0.0,39.16319,Retain,Informative feature variance
R_emaildomain,61,0.0,15.45126,Retain,Informative feature variance
C1,1591,0.0,21427.19336,Retain,Informative feature variance
C2,1103,0.0,28844.76367,Retain,Informative feature variance
C3,24,0.0,0.02301,Retain,Informative feature variance
C4,1218,0.0,5538.91309,Retain,Informative feature variance
C5,312,0.0,647.42554,Retain,Informative feature variance
C6,1294,0.0,5903.16553,Retain,Informative feature variance
C7,1102,0.0,4758.21875,Retain,Informative feature variance
C8,1226,0.0,11256.16699,Retain,Informative feature variance
C9,205,0.0,270.63443,Retain,Informative feature variance
C10,1163,0.0,11317.11523,Retain,Informative feature variance
C11,1421,0.0,10589.44922,Retain,Informative feature variance
C12,1194,0.0,9377.62305,Retain,Informative feature variance
C13,1589,0.0,18134.90234,Retain,Informative feature variance
C14,1089,0.0,2768.81055,Retain,Informative feature variance
D1,641,0.2,23473.34961,Retain,Informative feature variance
D2,641,48.95,30038.80469,Retain,Informative feature variance
D3,609,46.07,3894.42407,Retain,Informative feature variance
D4,767,29.59,34124.90234,Retain,Informative feature variance
D5,640,53.73,7794.53613,Retain,Informative feature variance
D6,781,87.62,19206.65039,Retain,Informative feature variance
D7,568,93.66,10507.16113,Retain,Informative feature variance
D8,11359,86.96,55304.88281,Retain,Informative feature variance
D9,24,86.96,0.10155,Retain,Informative feature variance
D10,777,14.05,31085.81445,Retain,Informative feature variance
D11,636,52.07,31664.16016,Retain,Informative feature variance
D12,600,88.84,14603.2168,Retain,Informative feature variance
D13,527,89.63,4492.54688,Retain,Informative feature variance
D14,763,89.45,16828.47852,Retain,Informative feature variance
D15,820,16.46,38314.02344,Retain,Informative feature variance
M1,3,0.0,0.25007,Retain,Informative feature variance
M2,3,0.0,0.3408,Retain,Informative feature variance
M3,3,0.0,0.41343,Retain,Informative feature variance
M4,4,0.0,0.62893,Retain,Informative feature variance
M5,3,0.0,0.67711,Retain,Informative feature variance
M6,3,0.0,0.62061,Retain,Informative feature variance
M7,3,0.0,0.34142,Retain,Informative feature variance
M8,3,0.0,0.51838,Retain,Informative feature variance
M9,3,0.0,0.83684,Retain,Informative feature variance
V1,2,52.07,7e-05,FlagNearConstant,Over 99.99% single-value concentration
V2,7,52.07,0.04784,Retain,Informative feature variance
V3,7,52.07,0.09024,Retain,Informative feature variance
V4,6,52.07,0.18915,Retain,Informative feature variance
V5,7,52.07,0.22177,Retain,Informative feature variance
V6,7,52.07,0.0487,Retain,Informative feature variance
V7,8,52.07,0.08141,Retain,Informative feature variance
V8,7,52.07,0.02762,Retain,Informative feature variance
V9,7,52.07,0.04289,Retain,Informative feature variance
V10,5,52.07,0.26982,Retain,Informative feature variance
V11,5,52.07,0.30205,Retain,Informative feature variance
V12,4,14.06,0.26085,Retain,Informative feature variance
V13,7,14.06,0.28323,Retain,Informative feature variance
V14,2,14.06,0.0005,Retain,Informative feature variance
V15,8,14.06,0.11337,Retain,Informative feature variance
V16,15,14.06,0.12196,Retain,Informative feature variance
V17,16,14.06,0.13442,Retain,Informative feature variance
V18,16,14.06,0.14,Retain,Informative feature variance
V19,8,14.06,0.18289,Retain,Informative feature variance
V20,15,14.06,0.21493,Retain,Informative feature variance
V21,6,14.06,0.11537,Retain,Informative feature variance
V22,9,14.06,0.12849,Retain,Informative feature variance
V23,14,14.06,0.065,Retain,Informative feature variance
V24,14,14.06,0.0971,Retain,Informative feature variance
V25,7,14.06,0.03676,Retain,Informative feature variance
V26,13,14.06,0.04756,Retain,Informative feature variance
V27,4,14.06,0.00081,Retain,Informative feature variance
V28,4,14.06,0.00084,Retain,Informative feature variance
V29,6,14.06,0.26059,Retain,Informative feature variance
V30,8,14.06,0.30599,Retain,Informative feature variance
V31,8,14.06,0.12812,Retain,Informative feature variance
V32,15,14.06,0.13878,Retain,Informative feature variance
V33,7,14.06,0.11787,Retain,Informative feature variance
V34,13,14.06,0.12933,Retain,Informative feature variance
V35,4,29.59,0.26684,Retain,Informative feature variance
V36,5,29.59,0.29044,Retain,Informative feature variance
V37,55,29.59,0.52565,Retain,Informative feature variance
V38,55,29.59,0.75313,Retain,Informative feature variance
V39,15,29.59,0.20899,Retain,Informative feature variance
V40,17,29.59,0.2589,Retain,Informative feature variance
V41,2,29.59,0.00077,Retain,Informative feature variance
V42,9,29.59,0.14995,Retain,Informative feature variance
