feature,risk_level,decision,reason
TransactionID,HighLeakageRisk,ExcludeFromModel,Artificial database sequence key; induces sequence memorization
isFraud,Target,QuarantineAsTarget,Supervised binary ground truth label
TransactionDT,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
TransactionAmt,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
ProductCD,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
card1,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
card2,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
card3,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
card4,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
card5,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
card6,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
addr1,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
addr2,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
dist1,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
dist2,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
P_emaildomain,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
R_emaildomain,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C1,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C2,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C3,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C4,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C5,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C6,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C7,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C8,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C9,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C10,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C11,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C12,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C13,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
C14,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D1,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D2,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D3,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D4,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D5,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D6,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D7,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D8,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D9,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D10,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D11,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D12,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D13,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D14,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
D15,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
M1,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
M2,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
M3,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
M4,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
M5,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
M6,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
M7,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
M8,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
M9,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V1,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V2,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V3,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V4,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V5,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V6,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V7,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V8,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V9,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
