feature_name,dtype,missing_percentage,feature_type,initial_decision,reason
TransactionID,int64,0.0,Identifier,ExcludeFromTraining,Primary key metadata index; not a causal predictor
isFraud,uint8,0.0,Target,RetainTarget,Supervised learning binary classification target
TransactionDT,int32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
TransactionAmt,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
ProductCD,str,0.0,Categorical,Retain,Categorical attribute for target / frequency encoding
card1,int16,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
card2,float32,1.51,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
card3,float32,0.27,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
card4,str,0.27,Categorical,Retain,Categorical attribute for target / frequency encoding
card5,float32,0.72,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
card6,str,0.27,Categorical,Retain,Categorical attribute for target / frequency encoding
addr1,float32,11.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
addr2,float32,11.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
dist1,float32,59.65,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
dist2,float32,93.63,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
P_emaildomain,str,15.99,Categorical,Retain,Categorical attribute for target / frequency encoding
R_emaildomain,str,76.75,Categorical,Retain,Categorical attribute for target / frequency encoding
C1,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C2,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C3,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C4,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C5,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C6,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C7,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C8,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C9,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C10,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C11,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C12,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C13,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
C14,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D1,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D2,float32,47.55,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D3,float32,44.51,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D4,float32,28.6,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D5,float32,52.47,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D6,float32,87.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D7,float32,93.41,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D8,float32,87.31,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D9,float32,87.31,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D10,float32,12.87,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D11,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D12,float32,89.04,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D13,float32,89.51,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D14,float32,89.47,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
D15,float32,15.09,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
M1,str,45.91,Categorical,Retain,Categorical attribute for target / frequency encoding
M2,str,45.91,Categorical,Retain,Categorical attribute for target / frequency encoding
M3,str,45.91,Categorical,Retain,Categorical attribute for target / frequency encoding
M4,str,47.66,Categorical,Retain,Categorical attribute for target / frequency encoding
M5,str,59.35,Categorical,Retain,Categorical attribute for target / frequency encoding
M6,str,28.68,Categorical,Retain,Categorical attribute for target / frequency encoding
M7,str,58.64,Categorical,Retain,Categorical attribute for target / frequency encoding
M8,str,58.63,Categorical,Retain,Categorical attribute for target / frequency encoding
M9,str,58.63,Categorical,Retain,Categorical attribute for target / frequency encoding
V1,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V2,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V3,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V4,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V5,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V6,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V7,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V8,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V9,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V10,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V11,float32,47.29,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V12,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V13,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V14,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V15,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V16,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V17,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V18,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V19,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V20,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V21,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V22,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V23,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V24,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V25,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V26,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V27,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V28,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V29,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V30,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V31,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V32,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V33,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V34,float32,12.88,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V35,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V36,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V37,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V38,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V39,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
