Threshold,TP,FP,TN,FN,Precision,Recall,F1_Score,FPR (%)
0.1,3937,62901,51143,127,0.0589,0.9688,0.1111,55.16
0.15,3847,47255,66789,217,0.0753,0.9466,0.1395,41.44
0.2,3758,36027,78017,306,0.0945,0.9247,0.1714,31.59
0.25,3631,27747,86297,433,0.1157,0.8935,0.2049,24.33
0.3,3517,21890,92154,547,0.1384,0.8654,0.2387,19.19
0.35,3359,17676,96368,705,0.1597,0.8265,0.2677,15.5
0.4,3249,14337,99707,815,0.1847,0.7995,0.3001,12.57
0.45,3123,11668,102376,941,0.2111,0.7685,0.3313,10.23
0.5,3000,9485,104559,1064,0.2403,0.7382,0.3626,8.32
0.6,2720,5985,108059,1344,0.3125,0.6693,0.426,5.25
0.7,2378,3405,110639,1686,0.4112,0.5851,0.483,2.99
0.8,1891,1520,112524,2173,0.5544,0.4653,0.506,1.33
